baseline_hbm_bytes_model,d_head,dtype,est_tflops_p50,fused_hbm_bytes_model,kernel,p50_us,p99_us,seq_per_s_p50,seqlen,tok_per_s_p50
5242880,128,fp32,2.581110153846154,1048576,baseline,52.0,53.0,19230.76923076923,512,9846153.846153846
5242880,128,fp32,4.3296041290322576,1048576,fused,31.0,32.0,32258.064516129034,512,16516129.032258065
18874368,128,fp32,5.017485158878505,2097152,baseline,107.0,109.0,9345.794392523365,1024,9570093.457943926
18874368,128,fp32,7.780737855072464,2097152,fused,69.0,71.0,14492.753623188406,1024,14840579.710144928
71303168,128,fp32,7.837531562043796,4194304,baseline,274.0,275.0,3649.6350364963505,2048,7474452.554744526
71303168,128,fp32,9.988296037209302,4194304,fused,215.0,218.0,4651.162790697675,2048,9525581.395348838
276824064,128,fp32,7.554911690413368,8388608,baseline,1137.0,1140.0,879.5074758135444,4096,3602462.6209322778
276824064,128,fp32,10.238301063170441,8388608,fused,839.0,840.0,1191.8951132300358,4096,4882002.383790227
4718592,128,bf16,2.7962026666666664,524288,baseline,48.0,48.0,20833.333333333332,512,10666666.666666666
4718592,128,bf16,4.793490285714286,524288,fused,28.0,29.0,35714.28571428572,512,18285714.285714287
17825792,128,bf16,5.592405333333333,1048576,baseline,96.0,98.0,10416.666666666666,1024,10666666.666666666
17825792,128,bf16,8.947848533333334,1048576,fused,60.0,61.0,16666.666666666668,1024,17066666.666666668
69206016,128,bf16,8.259552492307693,2097152,baseline,260.0,260.0,3846.153846153846,2048,7876923.076923077
69206016,128,bf16,11.422785361702129,2097152,fused,188.0,189.0,5319.148936170212,2048,10893617.021276595
272629760,128,bf16,8.299453712077296,4194304,baseline,1035.0,1037.0,966.1835748792271,4096,3957487.922705314
272629760,128,bf16,12.55838390643275,4194304,fused,684.0,686.0,1461.9883040935672,4096,5988304.093567251
