K,M,N,baseline_hbm_bytes_model,config,dtype,est_tflops_p50,fused_hbm_bytes_model,inferences_per_s_p50,kernel,p50_us,p99_us
128,128,512,1116160,128x128x512,fp32,0.46760821621621623,591872,27027.027027027027,baseline,37.0,37.0
128,128,512,1116160,128x128x512,fp32,0.823881142857143,591872,47619.04761904762,fused_pwl,21.0,21.0
128,128,512,1116160,128x128x512,fp32,0.6654424615384615,591872,38461.53846153846,fused_taylor,26.0,26.0
512,256,1024,5771264,256x512x1024,fp32,4.585298440677966,3674112,16949.15254237288,baseline,59.0,61.0
512,256,1024,5771264,256x512x1024,fp32,6.763315200000001,3674112,25000.0,fused_pwl,40.0,40.0
512,256,1024,5771264,256x512x1024,fp32,5.104388830188679,3674112,18867.924528301886,fused_taylor,53.0,54.0
1024,512,2048,23076864,512x1024x2048,fp32,11.845451956043958,14688256,5494.505494505494,baseline,182.0,183.0
1024,512,2048,23076864,512x1024x2048,fp32,14.372481706666669,14688256,6666.666666666667,fused_pwl,150.0,154.0
1024,512,2048,23076864,512x1024x2048,fp32,13.558945006289308,14688256,6289.308176100629,fused_taylor,159.0,160.0
2048,1024,4096,92291072,1024x2048x4096,fp32,14.674700439897697,58736640,852.5149190110827,baseline,1173.0,1176.0
2048,1024,4096,92291072,1024x2048x4096,fp32,16.027396290502796,58736640,931.0986964618249,fused_pwl,1074.0,1079.0
2048,1024,4096,92291072,1024x2048x4096,fp32,13.271722140323824,58736640,771.0100231303007,fused_taylor,1297.0,1301.0
4096,2048,4096,201342976,2048x4096x4096,fp32,16.838821444308444,134234112,244.79804161566707,baseline,4085.0,4090.0
4096,2048,4096,201342976,2048x4096x4096,fp32,16.42860893240984,134234112,238.83448770002389,fused_pwl,4187.0,4191.0
4096,2048,4096,201342976,2048x4096x4096,fp32,14.888871341991342,134234112,216.45021645021646,fused_taylor,4620.0,4631.0
128,128,512,558080,128x128x512,bf16,0.5088677647058824,295936,29411.764705882353,baseline,34.0,34.0
128,128,512,558080,128x128x512,bf16,0.9106054736842107,295936,52631.57894736842,fused_pwl,19.0,19.0
128,128,512,558080,128x128x512,bf16,0.752239304347826,295936,43478.260869565216,fused_taylor,23.0,24.0
512,256,1024,2885632,256x512x1024,bf16,5.636096,1837056,20833.333333333332,baseline,48.0,48.0
512,256,1024,2885632,256x512x1024,bf16,9.661878857142858,1837056,35714.28571428572,fused_pwl,28.0,28.0
512,256,1024,2885632,256x512x1024,bf16,6.763315200000001,1837056,25000.0,fused_taylor,40.0,41.0
1024,512,2048,11538432,512x1024x2048,bf16,26.29112507317073,7344128,12195.121951219513,baseline,82.0,83.0
1024,512,2048,11538432,512x1024x2048,bf16,38.49771885714286,7344128,17857.14285714286,fused_pwl,56.0,56.0
1024,512,2048,11538432,512x1024x2048,bf16,22.457002666666668,7344128,10416.666666666666,fused_taylor,96.0,98.0
2048,1024,4096,46145536,1024x2048x4096,bf16,50.627716517647066,29368320,2941.176470588235,baseline,340.0,343.0
2048,1024,4096,46145536,1024x2048x4096,bf16,59.768832,29368320,3472.222222222222,fused_pwl,288.0,288.0
2048,1024,4096,46145536,1024x2048x4096,bf16,42.713209965260546,29368320,2481.3895781637716,fused_taylor,403.0,404.0
4096,2048,4096,100671488,2048x4096x4096,bf16,40.774502430349735,67117056,592.7682276229995,baseline,1687.0,1690.0
4096,2048,4096,100671488,2048x4096x4096,bf16,44.2642120978121,67117056,643.5006435006435,fused_pwl,1554.0,1556.0
4096,2048,4096,100671488,2048x4096x4096,bf16,35.84501594580511,67117056,521.1047420531527,fused_taylor,1919.0,1923.0
