allclose_atol_1e2,d_head,dtype,kernel,max_abs_err,mean_abs_err,p99_abs_err,seqlen
True,128,fp32,baseline,4.559755325317383e-06,4.0638624909661303e-07,1.7583370208740234e-06,512
True,128,fp32,fused,4.6193599700927734e-06,4.0711972815188346e-07,1.7583370208740234e-06,512
True,128,fp32,baseline,4.6156346797943115e-06,4.1766315916902386e-07,1.7881393432617188e-06,1024
True,128,fp32,fused,4.544854164123535e-06,4.1802172745519783e-07,1.7881393432617188e-06,1024
True,128,fp32,baseline,5.0067901611328125e-06,4.0563057268627745e-07,1.7285346984863281e-06,2048
True,128,fp32,fused,4.9173831939697266e-06,4.060352125634381e-07,1.7285346984863281e-06,2048
True,128,fp32,baseline,4.6193599700927734e-06,3.877879919400584e-07,1.69314444065094e-06,4096
True,128,fp32,fused,4.678964614868164e-06,3.8806012980785454e-07,1.6987323760986328e-06,4096
False,128,bf16,baseline,0.01119530200958252,0.001063469098880887,0.004247726872563362,512
False,128,bf16,fused,0.01119530200958252,0.0010634521022439003,0.004247726872563362,512
False,128,bf16,baseline,0.010966718196868896,0.001053221640177071,0.0045029595494270325,1024
False,128,bf16,fused,0.010966718196868896,0.0010532254818826914,0.0045029595494270325,1024
False,128,bf16,baseline,0.013277672231197357,0.001004330813884735,0.004316661972552538,2048
False,128,bf16,fused,0.013277672231197357,0.0010043301153928041,0.00431659584864974,2048
True,128,bf16,baseline,0.00958433747291565,0.0009051911765709519,0.0038554200436919928,4096
True,128,bf16,fused,0.00958433747291565,0.0009051945526152849,0.0038555667269974947,4096
